手表编号,接收时间,校内天线信号强度,校外天线信号强度,信号强度差值
1.0,2017-05-04 15:58:04,-120.0,-88.0,-32.0
1.0,2017-05-04 15:58:08,-120.0,-87.0,-33.0
1.0,2017-05-04 15:58:10,-120.0,-79.0,-41.0
1.0,2017-05-04 15:58:12,-120.0,-79.0,-41.0
1.0,2017-05-04 15:58:13,-120.0,-71.0,-49.0
1.0,2017-05-04 15:58:14,-120.0,-75.0,-45.0
1.0,2017-05-04 15:58:16,-87.0,-78.0,-9.0
1.0,2017-05-04 15:58:17,-120.0,-75.0,-45.0
1.0,2017-05-04 15:58:18,-89.0,-76.0,-13.0
1.0,2017-05-04 15:58:19,-82.0,-83.0,1.0
1.0,2017-05-04 15:58:20,-80.0,-76.0,-4.0
1.0,2017-05-04 15:58:21,-87.0,-120.0,33.0
1.0,2017-05-04 15:58:22,-85.0,-79.0,-6.0
1.0,2017-05-04 15:58:23,-120.0,-83.0,-37.0
1.0,2017-05-04 15:58:24,-120.0,-73.0,-47.0
1.0,2017-05-04 15:58:25,-120.0,-81.0,-39.0
1.0,2017-05-04 15:58:27,-77.0,-68.0,-9.0
1.0,2017-05-04 15:58:28,-77.0,-63.0,-14.0
1.0,2017-05-04 15:58:29,-120.0,-68.0,-52.0
1.0,2017-05-04 15:58:30,-120.0,-63.0,-57.0
1.0,2017-05-04 15:58:31,-120.0,-64.0,-56.0
1.0,2017-05-04 15:58:32,-79.0,-120.0,41.0
1.0,2017-05-04 15:58:33,-79.0,-120.0,41.0
1.0,2017-05-04 15:58:34,-77.0,-60.0,-17.0
1.0,2017-05-04 15:58:35,-120.0,-63.0,-57.0
1.0,2017-05-04 15:58:36,-77.0,-63.0,-14.0
1.0,2017-05-04 15:58:38,-80.0,-120.0,40.0
1.0,2017-05-04 15:58:39,-84.0,-120.0,36.0
1.0,2017-05-04 15:58:40,-75.0,-120.0,45.0
1.0,2017-05-04 15:58:42,-77.0,-120.0,43.0
1.0,2017-05-04 15:58:43,-79.0,-120.0,41.0
1.0,2017-05-04 15:58:44,-120.0,-64.0,-56.0
1.0,2017-05-04 15:58:45,-71.0,-66.0,-5.0
1.0,2017-05-04 15:58:46,-67.0,-120.0,53.0
1.0,2017-05-04 15:58:47,-120.0,-84.0,-36.0
1.0,2017-05-04 15:58:48,-63.0,-81.0,18.0
1.0,2017-05-04 15:58:50,-120.0,-78.0,-42.0
1.0,2017-05-04 15:58:51,-66.0,-120.0,54.0
1.0,2017-05-04 15:58:52,-66.0,-78.0,12.0
1.0,2017-05-04 15:58:55,-75.0,-120.0,45.0
1.0,2017-05-04 15:58:57,-68.0,-120.0,52.0
1.0,2017-05-04 15:58:58,-75.0,-89.0,14.0
1.0,2017-05-04 15:59:00,-120.0,-85.0,-35.0
1.0,2017-05-04 15:59:02,-85.0,-88.0,3.0
1.0,2017-05-04 15:59:03,-79.0,-120.0,41.0
1.0,2017-05-04 15:59:08,-84.0,-120.0,36.0
1.0,2017-05-04 15:59:09,-89.0,-120.0,31.0
