手表编号,接收时间,校内天线信号强度,校外天线信号强度,信号强度差值
1,2017-05-12 15:13:04,-120,-87,-33
1,2017-05-12 15:13:10,-120,-79,-41
1,2017-05-12 15:13:12,-120,-86,-34
1,2017-05-12 15:13:13,-120,-77,-43
1,2017-05-12 15:13:14,-120,-82,-38
1,2017-05-12 15:13:15,-120,-82,-38
1,2017-05-12 15:13:16,-120,-82,-38
1,2017-05-12 15:13:18,-120,-84,-36
1,2017-05-12 15:13:19,-120,-83,-37
1,2017-05-12 15:13:21,-120,-88,-32
1,2017-05-12 15:13:22,-120,-86,-34
1,2017-05-12 15:13:25,-120,-87,-33
1,2017-05-12 15:13:26,-120,-83,-37
1,2017-05-12 15:13:27,-120,-77,-43
1,2017-05-12 15:13:32,-120,-89,-31
1,2017-05-12 15:13:34,-89,-120,31
1,2017-05-12 15:13:35,-87,-120,33
1,2017-05-12 15:13:36,-84,-120,36
1,2017-05-12 15:13:40,-75,-120,45
1,2017-05-12 15:13:41,-61,-120,59
1,2017-05-12 15:13:48,-77,-120,43
1,2017-05-12 15:13:49,-81,-120,39
1,2017-05-12 15:13:51,-74,-120,46
1,2017-05-12 15:13:52,-78,-120,42
1,2017-05-12 15:13:54,-74,-120,46
1,2017-05-12 15:13:57,-86,-120,34
1,2017-05-12 15:13:58,-87,-120,33
1,2017-05-12 15:14:01,-82,-120,38
1,2017-05-12 15:14:04,-83,-120,37
1,2017-05-12 15:14:05,-78,-120,42
1,2017-05-12 15:14:06,-84,-120,36
1,2017-05-12 15:14:08,-83,-120,37
1,2017-05-12 15:14:09,-88,-120,32
1,2017-05-12 15:14:12,-83,-120,37
1,2017-05-12 15:14:22,-88,-120,32
